,company,education,experience,industry,jobdescription,jobid,joblocation_address,jobtitle,payrate,skills,uniq_id
14,Confidential,"UG: B.Tech/B.E. - Any Specialization PG:M.Tech - Any Specialization, MBA/PGDM - Any Specialization, MS/M.Sc(Science) - Any Specialization",3 ,"['IT-Software ', ' Software Services']","gnation:softwar engineer. JD - I look person expertis core java angular js. both skill must current project. exp. 2.9 7 year If interest pleas share updat profil khushbooj@scaleneworks.org I shall get touch earliest. salary: not disclos recruit industry: it-softwar / softwar servic function area: IT softwar - applic program , mainten role category:program & design role:softwar develop keyskil core java javascript softwar engin angular JS desir candid profil education- ug: b.tech/b.e. - ani special pg:m.tech - ani specialization, mba/pgdm - ani specialization, ms/m.sc(science) - ani special compani profile: confidenti confidenti download ppt photo 1 view contact detail",5397,['Bengaluru'],Software Engineer,-,coding c c++ python software testing machine learning deep learning java oop,3390
15,ANI Technologies Pvt Ltd (Olacabs),"UG: B.Tech/B.E. - Any Specialization, Computers PG:Any Postgraduate - Any Specialization",3 ,"['Internet ', ' Ecommerce']","t role: softwar develop engin We brought technolog transport togeth build mobil billion people. the olacab mobil app redefin point-to- point transport 100 citi acrossindia. It quickest way book cab anywher city, right smartphone. the ola team constantli innov bring new afford way travel. We focus improv transport landscap contribut social econom growth. olacab offer creative, fast paced, entrepreneuri work environ youll center innov fuell make india passion. key deliverables: 1. code, develop, design featur relat exist applic minim supervision. 2. work perform improv activities. instrument test perform metrics. 3. unit test deployment. 4. talk product qa, lia stake holder ensur smooth delivery. skill requir (technical, soft skills, specif tools, person traits) 1. solid understand knowledg java. you understand concept multithreading, i/o, messaging, instrument etc implement java. 2. profici implement algorithm use advanc data structur solv problem computing. A solid foundat principl comput scienc desired. 3. abil write clean, modular loos coupl code use design patterns.candid background requir (educ & experience) 1. engin degre comput scienc institut reput 4-5 year develop experi product firm. salary:inr 6,50,000 - 16,50,000 p.a industry: internet / ecommerc function area: IT softwar - ecommerc , internet technolog role category:program & design role:softwar develop keyskil algorithm data structur java multithread softwar develop unit test improv activ comput scienc soft skill perform improv effect desir candid profil pleas refer job descript education- ug: b.tech/b.e. - ani specialization, comput pg:ani postgradu - ani special compani profile: ani technolog pvt ltd (olacabs) the ola team constantli innov bring new afford way travel. We focus improv transport landscap contribut social econom growth. olacab offer creative, fast paced, entrepreneuri work environ center innov fuell make india passion. download ppt photo 1 view contact detail",8928,['Bengaluru'],Software Development Engineer,"6,50,000 - 16,50,000 P.A",IT Software - eCommerce,7667
17,ALTEN CALSOFT LABS (INDIA) PRIVATE LIMITED,"UG: B.Tech/B.E. - Any Specialization PG:M.Tech - Any Specialization, MCA - Computers Doctorate:Doctorate Not Required",4 ,"['IT-Software ', ' Software Services']","irements: good knowledg html4/ html5, css2/ css3 object orient javascript, ajax experi respons web design develop deep technic expertis html4/5, css2/3, javascript, object orient javascript concepts, json, angular js, rest apis. good analyt problem solv skill good commun skill tool knowledg eclips editor, clear case & web log experi prepar technic specif document . salary: not disclos recruit industry: it-softwar / softwar servic function area: IT softwar - applic program , mainten role category:program & design role:softwar develop keyskil javascript ajax json UI develop eclips web design web technolog design develop problem solv html4 css2 object orient javascript web design develop angular JS rest api desir candid profil prefer educ - b.e/b.tech/ m.e/m.tech/mcaarea expertis - html/javascript/ json, angular js, rest apis.experi - 3.5 8 years. education- ug: b.tech/b.e. - ani special pg:m.tech - ani specialization, mca - comput doctorate:doctor not requir compani profile: alten calsoft lab (india) privat limit calsoft lab provid special concept market product engin embed design engin servic establish earli stage product technolog compani select market segment 2013 isvs, new media companies, network datacom oems, comput hardwar manufacturers, semiconductor compani consum electron companies. calsoft lab help acceler develop softwar product reduc time market proven processes, methodologies, tools. our full lifecycl servic includ product development, test qa, sustenance, embed engin services, embed system design. experienc engin deep expertis lead edg technolog help improv qualiti reliabl product customers. We help sever fortun 500 earli stage compani ship wide use softwar product world, time within budget. We product engin only, product engin also. corpor overview calsoft lab wholli own subsidiari alten. set 1988, alten european leader technolog consult engin (tce) 12,600 employe 12 countri worldwide.alten' market cover full rang consult services, technic assistance, perform fix price project outsourc platform field technolog consult engin (tce) well inform system networks. download ppt photo 1 view contact detail",7874,['Bengaluru'],UI Developer,-,ajax json jquery html css,5025
18,InstaCar Technologies Pvt. Ltd.,"UG: Any Graduate - Any Specialization PG:MBA/PGDM - Any Specialization, Marketing, Any Postgraduate",3 ,"['IT-Software ', ' Software Services']","ook high-impact collater acceler sale opportun key vertic also help scale sale team' enabl effort empow qualifi close new business. for detail visit: http://goo.gl/3hf0qf salary:inr 2,00,000 - 5,00,000 p.a industry: it-softwar / softwar servic function area: sale , retail , busi develop role category:institut sale role:sales/busi develop manag keyskil bdm busi develop manag busi develop bdo desir candid profil pleas refer job descript education- ug: ani graduat - ani special pg:mba/pgdm - ani specialization, marketing, ani postgradu compani profile: instacar technolog pvt. ltd. We fast-grow taxi rental marketplac one dream: make road trip happy. attempt fill gap get outstat taxi across india. download ppt photo 1 view contact detail",10976,"['Bengaluru,', 'Mumbai,', 'Indore']",Business Development Manager,"2,00,000 - 5,00,000 P.A",strategic skills ms office teamwork communication skills marketing,13744
19,Stayzilla-Startup jobs,UG: B.Tech/B.E. - Any Specialization PG:Any Postgraduate Doctorate:Doctorate Not Required,4 ,"['Internet ', ' Ecommerce']","descript respons respons effect provisioning, installation, configuration, operation, mainten system hardwar softwar relat infrastructure. ensur system hardware, oper systems, softwar systems, relat procedur adher organiz values, enabl staff, volunteers, partners. salary: not disclos recruit industry: internet / ecommerc function area: IT softwar - applic program , mainten role category:program & design role:softwar develop keyskil configur mainten oper system desir candid profil requir skill set amazon web servic cento linux dn manag databas administr - mongodb / mysql databas server manag mysql / mongodb elasticsearch firewal iptabl git manag high avail load balanc web websocket etc load balanc - commerci haproxi mysql manag nagio php-fpm instal manag puppet shell script storag area network storag manag virtual web cach - varnish / nginx etc web server - nginx , haproxywork conditionsrespons sometim requir work even weekends, sometim littl advanc notice. education- ug: b.tech/b.e. - ani special pg:ani postgradu doctorate:doctor not requir compani profile: stayzilla-startup job compani profile: stayzilla found laser-sharp vision becom india' largest onlin marketplac ""stays"". go beyond realm hotels, serv well-balanc diet compris manner ""stay"" option custom includ lodges, homestays, guesthouses, etc. stayzilla also aim provid unpreced reach travel - regardless purpos travel - provid stay across entir length breadth country, includ sort option ultra-low budget room luxuri stays. currently, stayzilla 25000 option spread across 4000 towns. download ppt photo 1 view contact detail",7883,['Bengaluru'],Devops Engineer,-,IT Software - Application Programming,11921
20,Global Career Academy hiring for Office assistant,"UG: Any Graduate - Any Specialization, Diploma - Any Specialization PG:Other Doctorate:Doctorate Not Required",0 ,"['Education ', ' Teaching ', ' Training']","ons offic relat work like counselling,appl process,regular followup students,visa process,forex,insurance,travel arrang and account etc. salary:inr 1,25,000 - 1,75,000 p.a industry: educ / teach / train function area: other role:oth keyskil student counsel visa file student visa studi abroad oversea educ desir candid profil 1.ani bachelor degree. 2. must excel oral written commun skills. 3.fresher experienced.(experienc market field also eligible). 4.good knowledg ms-excel ms-office. education- ug: ani graduat - ani specialization, diploma - ani special pg:other doctorate:doctor not requir compani profile: global career academi offic assist global career academi (gca) lead oversea educ consult offer servic student aspir studi abroad. our servic lie assist student everi step select cours intern univers download ppt photo 1 view contact detail",9274,['Bengaluru'],Office Assistant,"1,25,000 - 1,75,000 P.A",,10351
23,LINKTAG hiring for Hiring for IT Staffing Firm,UG: Any Graduate - Any Specialization PG:Any Postgraduate Doctorate:Any Doctorate - Any Specialization,3 ,"['IT-Software ', ' Software Services']","atori technology/skil : php framework ( ci, cakephp etc..), codeigniter(1 year exp mandatory). salary:inr 2,00,000 - 6,00,000 p.a industry: it-softwar / softwar servic function area: IT softwar - applic program , mainten role category:program & design role:softwar develop keyskil php codeignit desir candid profil pleas refer job descript education- ug: ani graduat - ani special pg:ani postgradu doctorate:ani doctor - ani special compani profile: linktag hire IT staf firm venu details: linktag #181, 3rd floor, VV puram, RV road, near lal bhag west gate abov ye bank atm bangalore, karnataka - 56004 download ppt photo 1 view contact detail",9290,['Bengaluru'],PHP Developer,"2,00,000 - 6,00,000 P.A",php javascript css web development html,7192
25,InstaCar Technologies Pvt. Ltd.,"UG: Any Graduate - Any Specialization, B.B.A / B.M.S - Management, B.A - Any Specialization PG:Any Postgraduate, MBA/PGDM - Any Specialization, Finance, Marketing",1 ,"['IT-Software ', ' Software Services']","ir analysi & translat simplifi them. organ requir & cite proposals.data analyst project feasibl study, verbal commun client & follow up mani crucial respons perform. salary:inr 1,75,000 - 4,75,000 p.a industry: it-softwar / softwar servic function area: analyt & busi intellig role category:analyt & BI role:busi analyst keyskil busi analysi busi plan financi analysi market analysi client commun requir analysi technic propos desir candid profil pleas refer job descript education- ug: ani graduat - ani specialization, b.b.a / b.m. - management, b.a - ani special pg:ani postgraduate, mba/pgdm - ani specialization, finance, market compani profile: instacar technolog pvt. ltd. We fast-grow taxi rental marketplac one dream: make road trip happy. attempt fill gap get outstat taxi across india. download ppt photo 1 view contact detail",10443,"['Bengaluru,', 'Indore,', 'Mumbai']",Business Analyst,"1,75,000 - 4,75,000 P.A",analytical skills marketing management skills ms office presentation skills,4690
27,Thoran Paper Products Unit I,UG: Any Graduate - Any Specialization PG:Any Postgraduate Doctorate:Any Doctorate - Any Specialization,2 ,"['FMCG ', ' Foods ', ' Beverage']","onsibilities: identif institut custom high volum custom respons achiev sale target respect area carri market research identifi new custom new custom acquisit coordin plant visits, audit custom supplier registr gener enquiries, submiss quotations, price negoti order bag follow custom get custom po forward plant analyz miss lost order initi appropri action obtain custom feedback assess satisfact levels. identifi report area improv manag ensur complianc laid system procedur includ maintain record submit weekli monthli report top manag payment collect custom track custom complaint ensur effect closur salary: salari constraint right candid industry: fmcg / food / beverag function area: sale , retail , busi develop role category:corpor sale role:sal executive/offic keyskil market sale custom acquisit market research payment collect top manag custom complaint monthli report desir candid profil pleas refer job descript education- ug: ani graduat - ani special pg:ani postgradu doctorate:ani doctor - ani special compani profile: thoran paper product unit I thoran paper product one largest paper product manufactur unit south india. primarili focus fmcg food retail chain. few custom includ cafã© coffe day, indigo airlines, mahindra holidays, aubon pain, scoops, haaggen -dazz icecream, bambino, gener mill (U S A based) . atfood (act popcorn) pvr cinema, adayar anand bhavan chennai. orient chain restaur cushni chennai. nesttl india ltd .chai point, chaihous ,brista coffee,hatson agro chennai ( arun ibaco ice cream) mani others. download ppt photo 1 view contact detail",8601,"['Hyderabad,', 'Chennai,', 'Bengaluru']",Marketing Executive,Salary is not a constraints for the right candidate,teamwork marketing data science communication skills stratergy,14231
29,InstaCar Technologies Pvt. Ltd.,"UG: Any Graduate - Any Specialization PG:Any Postgraduate, MBA/PGDM - Any Specialization, Marketing",2 ,"['IT-Software ', ' Software Services']","rienc sale specialist develop implement organ sale strategy. work variou bid portals. one dig larg set technolog achiev huge targets. for detail click : http://goo.gl/uacwbn salary:inr 1,25,000 - 4,00,000 p.a industry: it-softwar / softwar servic function area: sale , retail , busi develop role category:retail sale role:sal executive/offic keyskil sale strategi sale plan sale corpor strategi desir candid profil pleas refer job descript education- ug: ani graduat - ani special pg:ani postgraduate, mba/pgdm - ani specialization, market compani profile: instacar technolog pvt. ltd. We fast-grow taxi rental marketplac one dream: make road trip happy. attempt fill gap get outstat taxi across india. download ppt photo 1 view contact detail",10442,"['Indore,', 'Bengaluru,', 'Mumbai']",Sales Executive,"1,25,000 - 4,00,000 P.A",marketing analytics communication skills sales force stratergy,17118
30,Coviam Technologies - Startup,UG: B.Tech/B.E. - Computers PG:Any Postgraduate Doctorate:Doctorate Not Required,4 ,"['Internet ', ' Ecommerce']","descript the databas administr respons effect installation, upgrade,patching, databas infrastructure. the databas administr task focus improv performance, scalabl reliabl system continu monitor system health, troubleshoot issu arise. thi individu account regular backup databas infrastructure, autom same, conduct regular audit system ensur recoveri point object system place. thi individu respons notifi bottleneck queri execut coordin r&d team elimin same. thi individu respons manag production, develop QA infrastructure. job respons also includ support product system rotat basis. skill strong knowledg postgresql mongo DB administr strong knowledg monitor resolv issu configur strong knowledg physic databas design concept strong knowledg high avail configur databas good understand data segment data retent rule hand experi databas upgrad patch process hand experi applic queri tune good knowledg linux administr desir experi script like shell, python, perl desir work experi configur databas alert open sourc alert tool good knowledg sdlc process follow configur chang manag good understand ecommerc domain desir salary: not disclos recruit industry: internet / ecommerc function area: IT softwar - dba , datawareh role category:admin/maintenance/security/datawareh role:dba keyskil linux administr perl python product manag high avail databas design open sourc chang manag databas administr desir candid profil qualif A bachelor; degre comput scienc (or equivalentnexperience) databas administr certif postgresql / mongo DB four year work experi managingnrel non-rel databas proven abil multi-task. independent, self-starter. education- ug: b.tech/b.e. - comput pg:ani postgradu doctorate:doctor not requir compani profile: coviam technolog - startup global custom - end end ecommerc product driven platform development, payment technologies, warehousing, suppli chain fulfilment. download ppt photo 1 view contact detail",7877,['Bengaluru'],Database Administrator,-,IT Software - DBA,18757
32,Confidential,"UG: B.Tech/B.E. - Computers, Electrical, Electronics/Telecommunication PG:M.Tech - Computers, Electrical, Electronics/Telecommunication, MS/M.Sc(Science) - Computers, Electronics, MCA - Computers",4 ,"['IT-Software ', ' Software Services']","rience: 4 7 year job location: bangalor educ qualif : full term - be/b.tech (cs/it/ece/eee), me, m.tech, MS (cs/it/ece/eee), msc (cs/it/electronics) mca. mandatori requir expert python program veri good oop design pattern veri good knowledg django server django orm framework good knowledg rest, uri design implement good knowledg plsql databas (should abl understand/develop good relationship variou tables) the person self-driven, highli commit abl work aggress schedul option requir knowledg vmware, openstack aw cloud platform python api knowledg rabbitmq messag platform knowledg celeri task platform synchron asynchron commun principl salary: not disclos recruit industry: it-softwar / softwar servic function area: IT softwar - applic program , mainten role category:program & design role:softwar develop keyskil django python design pattern python develop desir candid profil education- ug: b.tech/b.e. - computers, electrical, electronics/telecommun pg:m.tech - computers, electrical, electronics/telecommunication, ms/m.sc(science) - computers, electronics, mca - comput compani profile: confidenti confidenti download ppt photo 1 view contact detail",6435,['Bengaluru'],Python Developer,-,IT Software - Application Programming,3816
